Jan-25-2023 19:24:35, s01, 3.5
Jan-25-2023 19:26:41, s02, 4.1
Jan-25-2023 19:27:32, s04, 5.0
Jan-25-2023 19:41:11, s03, 1.1
Jan-25-2023 19:45:01, s11, 0.1
Jan-25-2023 19:51:59, s01, 3.1
Jan-25-2023 19:52:24, s02, 4.5
Jan-25-2023 19:54:23, s04, 4.0
Jan-25-2023 19:59:42, s02, 2.2
Jan-25-2023 19:59:51, s01, 5.3
Jan-25-2023 20:00:03, s10, 4.2
Jan-25-2023 20:00:05, s06, 3.2
Jan-25-2023 20:01:29, s09, 2.1
Jan-25-2023 20:02:11, s08, 5.1
Jan-25-2023 20:03:42, s09, 1.3
Jan-25-2023 20:04:00, s08, 3.1
Jan-25-2023 20:04:11, s08, 5.1
Jan-25-2023 20:05:35, s05, 71.6
Jan-25-2023 20:11:52, s05, 72.1
Jan-25-2023 20:25:07, s05, 72.6
Jan-25-2023 20:29:11, s08, 2.9
Jan-25-2023 20:34:00, s10, 3.1
Jan-25-2023 20:34:01, s01, 3.5
Jan-25-2023 20:34:05, s05, 73.1
Jan-25-2023 20:34:11, s06, 0.0
Jan-25-2023 20:34:05, s05, 73.6
Jan-25-2023 20:35:11, s05, 74.1
